LAD_code,LAD_name,UTLA_code,UTLA_name,adm2,aggregated_adm2
E07000110,MAIDSTONE,E10000016,KENT,KENT,KENT
E07000111,SEVENOAKS,E10000016,KENT,KENT,KENT
E07000112,FOLKESTONE AND HYTHE,E10000016,KENT,KENT,KENT
E07000113,SWALE,E10000016,KENT,KENT,KENT
E07000114,THANET,E10000016,KENT,KENT,KENT
E07000115,TONBRIDGE AND MALLING,E10000016,KENT,KENT,KENT
E07000116,TUNBRIDGE WELLS,E10000016,KENT,KENT,KENT
E06000008,BLACKBURN WITH DARWEN,E06000008,BLACKBURN WITH DARWEN,BLACKBURN_WITH_DARWEN,LANCASHIRE
E06000009,BLACKPOOL,E06000009,BLACKPOOL,BLACKPOOL,LANCASHIRE
E07000117,BURNLEY,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000118,CHORLEY,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000119,FYLDE,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000120,HYNDBURN,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000121,LANCASTER,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000122,PENDLE,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000123,PRESTON,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000124,RIBBLE VALLEY,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000125,ROSSENDALE,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000126,SOUTH RIBBLE,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000127,WEST LANCASHIRE,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E07000128,WYRE,E10000017,LANCASHIRE,LANCASHIRE,LANCASHIRE
E06000016,LEICESTER,E06000016,LEICESTER,LEICESTER,LEICESTERSHIRE
E06000017,RUTLAND,E06000017,RUTLAND,RUTLAND,LEICESTERSHIRE
E07000129,BLABY,E10000018,LEICESTERSHIRE,LEICESTERSHIRE,LEICESTERSHIRE
E07000130,CHARNWOOD,E10000018,LEICESTERSHIRE,LEICESTERSHIRE,LEICESTERSHIRE
E07000131,HARBOROUGH,E10000018,LEICESTERSHIRE,LEICESTERSHIRE,LEICESTERSHIRE
E07000132,HINCKLEY AND BOSWORTH,E10000018,LEICESTERSHIRE,LEICESTERSHIRE,LEICESTERSHIRE
E07000133,MELTON,E10000018,LEICESTERSHIRE,LEICESTERSHIRE,LEICESTERSHIRE
E07000134,NORTH WEST LEICESTERSHIRE,E10000018,LEICESTERSHIRE,LEICESTERSHIRE,LEICESTERSHIRE
E07000135,OADBY AND WIGSTON,E10000018,LEICESTERSHIRE,LEICESTERSHIRE,LEICESTERSHIRE
E06000012,NORTH EAST LINCOLNSHIRE,E06000012,NORTH EAST LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
E06000013,NORTH LINCOLNSHIRE,E06000013,NORTH LINCOLNSHIRE,NORTH_LINCOLNSHIRE,LINCOLNSHIRE
E07000136,BOSTON,E10000019,LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
E07000137,EAST LINDSEY,E10000019,LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
E07000138,LINCOLN,E10000019,LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
E07000139,NORTH KESTEVEN,E10000019,LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
E07000140,SOUTH HOLLAND,E10000019,LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
E07000141,SOUTH KESTEVEN,E10000019,LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
E07000142,WEST LINDSEY,E10000019,LINCOLNSHIRE,LINCOLNSHIRE,LINCOLNSHIRE
N09000007,LISBURN AND CASTLEREAGH,N09000007,LISBURN AND CASTLEREAGH,LISBURN_AND_CASTLEREAGH,LISBURN_AND_CASTLEREAGH
E08000011,KNOWSLEY,E11000002,MERSEYSIDE,KNOWSLEY,MERSEYSIDE
E08000012,LIVERPOOL,E11000002,MERSEYSIDE,LIVERPOOL,MERSEYSIDE
E08000013,ST. HELENS,E11000002,MERSEYSIDE,SAINT_HELENS,MERSEYSIDE
E08000014,SEFTON,E11000002,MERSEYSIDE,SEFTON,MERSEYSIDE
E08000015,WIRRAL,E11000002,MERSEYSIDE,WIRRAL,MERSEYSIDE
W06000024,MERTHYR TYDFIL,W06000024,MERTHYR TYDFIL,MERTHYR_TYDFIL,MERTHYR_TYDFIL
N09000008,MID AND EAST ANTRIM,N09000008,MID AND EAST ANTRIM,MID_AND_EAST_ANTRIM,MID_AND_EAST_ANTRIM
N09000009,MID ULSTER,N09000009,MID ULSTER,MID_ULSTER,MID_ULSTER
S12000019,MIDLOTHIAN,S12000019,MIDLOTHIAN,MIDLOTHIAN,MIDLOTHIAN
W06000021,MONMOUTHSHIRE,W06000021,MONMOUTHSHIRE,MONMOUTHSHIRE,MONMOUTHSHIRE
S12000020,MORAY,S12000020,MORAY,MORAY,MORAY
W06000012,NEATH PORT TALBOT,W06000012,NEATH PORT TALBOT,NEATH_PORT_TALBOT,NEATH_PORT_TALBOT
W06000022,NEWPORT,W06000022,NEWPORT,NEWPORT,NEWPORT
N09000010,"NEWRY, MOURNE AND DOWN",N09000010,"NEWRY, MOURNE AND DOWN",NEWRY_MOURNE_AND_DOWN,NEWRY_MOURNE_AND_DOWN
E07000143,BRECKLAND,E10000020,NORFOLK,NORFOLK,NORFOLK
E07000144,BROADLAND,E10000020,NORFOLK,NORFOLK,NORFOLK
E07000145,GREAT YARMOUTH,E10000020,NORFOLK,NORFOLK,NORFOLK
E07000146,KING'S LYNN AND WEST NORFOLK,E10000020,NORFOLK,NORFOLK,NORFOLK
E07000147,NORTH NORFOLK,E10000020,NORFOLK,NORFOLK,NORFOLK
E07000148,NORWICH,E10000020,NORFOLK,NORFOLK,NORFOLK
E07000149,SOUTH NORFOLK,E10000020,NORFOLK,NORFOLK,NORFOLK
S12000021,NORTH AYRSHIRE,S12000021,NORTH AYRSHIRE,NORTH_AYRSHIRE,NORTH_AYRSHIRE
N09000011,ARDS AND NORTH DOWN,N09000011,ARDS AND NORTH DOWN,NORTH_DOWN_AND_ARDS,NORTH_DOWN_AND_ARDS
S12000050,NORTH LANARKSHIRE,S12000050,NORTH LANARKSHIRE,NORTH_LANARKSHIRE,NORTH_LANARKSHIRE
E06000002,MIDDLESBROUGH,E06000002,MIDDLESBROUGH,MIDDLESBROUGH,NORTH_YORKSHIRE
E06000003,REDCAR AND CLEVELAND,E06000003,REDCAR AND CLEVELAND,REDCAR_AND_CLEVELAND,NORTH_YORKSHIRE
E06000014,YORK,E06000014,YORK,YORK,NORTH_YORKSHIRE
E07000163,CRAVEN,E10000023,NORTH YORKSHIRE,NORTH_YORKSHIRE,NORTH_YORKSHIRE
E07000164,HAMBLETON,E10000023,NORTH YORKSHIRE,NORTH_YORKSHIRE,NORTH_YORKSHIRE
E07000165,HARROGATE,E10000023,NORTH YORKSHIRE,NORTH_YORKSHIRE,NORTH_YORKSHIRE
E07000166,RICHMONDSHIRE,E10000023,NORTH YORKSHIRE,NORTH_YORKSHIRE,NORTH_YORKSHIRE
E07000167,RYEDALE,E10000023,NORTH YORKSHIRE,NORTH_YORKSHIRE,NORTH_YORKSHIRE
E07000168,SCARBOROUGH,E10000023,NORTH YORKSHIRE,NORTH_YORKSHIRE,NORTH_YORKSHIRE
E07000169,SELBY,E10000023,NORTH YORKSHIRE,NORTH_YORKSHIRE,NORTH_YORKSHIRE
E07000150,CORBY,E10000021,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
E07000151,DAVENTRY,E10000021,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
E07000152,EAST NORTHAMPTONSHIRE,E10000021,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
E07000153,KETTERING,E10000021,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
E07000154,NORTHAMPTON,E10000021,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
E07000155,SOUTH NORTHAMPTONSHIRE,E10000021,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
E07000156,WELLINGBOROUGH,E10000021,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
E06000057,NORTHUMBERLAND,E06000057,NORTHUMBERLAND,NORTHUMBERLAND,NORTHUMBERLAND
E06000018,NOTTINGHAM,E06000018,NOTTINGHAM,NOTTINGHAM,NOTTINGHAMSHIRE
E07000170,ASHFIELD,E10000024,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
E07000171,BASSETLAW,E10000024,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
E07000172,BROXTOWE,E10000024,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
E07000173,GEDLING,E10000024,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
E07000174,MANSFIELD,E10000024,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
E07000175,NEWARK AND SHERWOOD,E10000024,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
E07000176,RUSHCLIFFE,E10000024,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
S12000023,ORKNEY ISLANDS,S12000023,ORKNEY ISLANDS,ORKNEY_ISLANDS,ORKNEY_ISLANDS
E07000177,CHERWELL,E10000025,OXFORDSHIRE,OXFORDSHIRE,OXFORDSHIRE
E07000178,OXFORD,E10000025,OXFORDSHIRE,OXFORDSHIRE,OXFORDSHIRE
E07000179,SOUTH OXFORDSHIRE,E10000025,OXFORDSHIRE,OXFORDSHIRE,OXFORDSHIRE
E07000180,VALE OF WHITE HORSE,E10000025,OXFORDSHIRE,OXFORDSHIRE,OXFORDSHIRE
E07000181,WEST OXFORDSHIRE,E10000025,OXFORDSHIRE,OXFORDSHIRE,OXFORDSHIRE
W06000009,PEMBROKESHIRE,W06000009,PEMBROKESHIRE,PEMBROKESHIRE,PEMBROKESHIRE
S12000048,PERTH AND KINROSS,S12000048,PERTH AND KINROSS,PERTHSHIRE_AND_KINROSS,PERTHSHIRE_AND_KINROSS
W06000023,POWYS,W06000023,POWYS,POWYS,POWYS
S12000038,RENFREWSHIRE,S12000038,RENFREWSHIRE,RENFREWSHIRE,RENFREWSHIRE
W06000016,RHONDDA CYNON TAF,W06000016,RHONDDA CYNON TAF,RHONDDA_CYNON_TAFF,RHONDDA_CYNON_TAFF
S12000026,SCOTTISH BORDERS,S12000026,SCOTTISH BORDERS,SCOTTISH_BORDERS,SCOTTISH_BORDERS
S12000027,SHETLAND ISLANDS,S12000027,SHETLAND ISLANDS,SHETLAND_ISLANDS,SHETLAND_ISLANDS
E06000020,TELFORD AND WREKIN,E06000020,TELFORD AND WREKIN,TELFORD_AND_WREKIN,SHROPSHIRE
E06000051,SHROPSHIRE,E06000051,SHROPSHIRE,SHROPSHIRE,SHROPSHIRE
E06000022,BATH AND NORTH EAST SOMERSET,E06000022,BATH AND NORTH EAST SOMERSET,BATH_AND_NORTH_EAST_SOMERSET,SOMERSET
E06000024,NORTH SOMERSET,E06000024,NORTH SOMERSET,NORTH_SOMERSET,SOMERSET
E07000187,MENDIP,E10000027,SOMERSET,SOMERSET,SOMERSET
E07000188,SEDGEMOOR,E10000027,SOMERSET,SOMERSET,SOMERSET
E07000189,SOUTH SOMERSET,E10000027,SOMERSET,SOMERSET,SOMERSET
E07000246,SOMERSET WEST AND TAUNTON,E10000027,SOMERSET,SOMERSET,SOMERSET
S12000028,SOUTH AYRSHIRE,S12000028,SOUTH AYRSHIRE,SOUTH_AYRSHIRE,SOUTH_AYRSHIRE
S12000029,SOUTH LANARKSHIRE,S12000029,SOUTH LANARKSHIRE,SOUTH_LANARKSHIRE,SOUTH_LANARKSHIRE
E08000016,BARNSLEY,E11000003,SOUTH YORKSHIRE,BARNSLEY,SOUTH_YORKSHIRE
E08000017,DONCASTER,E11000003,SOUTH YORKSHIRE,DONCASTER,SOUTH_YORKSHIRE
E08000018,ROTHERHAM,E11000003,SOUTH YORKSHIRE,ROTHERHAM,SOUTH_YORKSHIRE
E08000019,SHEFFIELD,E11000003,SOUTH YORKSHIRE,SHEFFIELD,SOUTH_YORKSHIRE
E06000021,STOKE-ON-TRENT,E06000021,STOKE-ON-TRENT,STOKE-ON-TRENT,STAFFORDSHIRE
E07000192,CANNOCK CHASE,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
E07000193,EAST STAFFORDSHIRE,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
E07000194,LICHFIELD,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
E07000195,NEWCASTLE-UNDER-LYME,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
E07000196,SOUTH STAFFORDSHIRE,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
E07000197,STAFFORD,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
E07000198,STAFFORDSHIRE MOORLANDS,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
E07000199,TAMWORTH,E10000028,STAFFORDSHIRE,STAFFORDSHIRE,STAFFORDSHIRE
S12000030,STIRLING,S12000030,STIRLING,STIRLING,STIRLING
E07000200,BABERGH,E10000029,SUFFOLK,SUFFOLK,SUFFOLK
E07000202,IPSWICH,E10000029,SUFFOLK,SUFFOLK,SUFFOLK
E07000203,MID SUFFOLK,E10000029,SUFFOLK,SUFFOLK,SUFFOLK
E07000244,EAST SUFFOLK,E10000029,SUFFOLK,SUFFOLK,SUFFOLK
E07000245,WEST SUFFOLK,E10000029,SUFFOLK,SUFFOLK,SUFFOLK
E07000207,ELMBRIDGE,E10000030,SURREY,SURREY,SURREY
E07000208,EPSOM AND EWELL,E10000030,SURREY,SURREY,SURREY
E07000209,GUILDFORD,E10000030,SURREY,SURREY,SURREY
E07000210,MOLE VALLEY,E10000030,SURREY,SURREY,SURREY
E07000211,REIGATE AND BANSTEAD,E10000030,SURREY,SURREY,SURREY
E07000212,RUNNYMEDE,E10000030,SURREY,SURREY,SURREY
E07000213,SPELTHORNE,E10000030,SURREY,SURREY,SURREY
E07000214,SURREY HEATH,E10000030,SURREY,SURREY,SURREY
E07000215,TANDRIDGE,E10000030,SURREY,SURREY,SURREY
E07000216,WAVERLEY,E10000030,SURREY,SURREY,SURREY
E07000217,WOKING,E10000030,SURREY,SURREY,SURREY
E06000043,BRIGHTON AND HOVE,E06000043,BRIGHTON AND HOVE,BRIGHTON_AND_HOVE,SUSSEX
E07000061,EASTBOURNE,E10000011,EAST SUSSEX,EAST_SUSSEX,SUSSEX
E07000062,HASTINGS,E10000011,EAST SUSSEX,EAST_SUSSEX,SUSSEX
E07000063,LEWES,E10000011,EAST SUSSEX,EAST_SUSSEX,SUSSEX
E07000064,ROTHER,E10000011,EAST SUSSEX,EAST_SUSSEX,SUSSEX
E07000065,WEALDEN,E10000011,EAST SUSSEX,EAST_SUSSEX,SUSSEX
E07000223,ADUR,E10000032,WEST SUSSEX,WEST_SUSSEX,SUSSEX
E07000224,ARUN,E10000032,WEST SUSSEX,WEST_SUSSEX,SUSSEX
E07000225,CHICHESTER,E10000032,WEST SUSSEX,WEST_SUSSEX,SUSSEX
E07000226,CRAWLEY,E10000032,WEST SUSSEX,WEST_SUSSEX,SUSSEX
E07000227,HORSHAM,E10000032,WEST SUSSEX,WEST_SUSSEX,SUSSEX
E07000228,MID SUSSEX,E10000032,WEST SUSSEX,WEST_SUSSEX,SUSSEX
E07000229,WORTHING,E10000032,WEST SUSSEX,WEST_SUSSEX,SUSSEX
W06000011,SWANSEA,W06000011,SWANSEA,SWANSEA,SWANSEA
W06000020,TORFAEN,W06000020,TORFAEN,TORFAEN,TORFAEN
E08000021,NEWCASTLE UPON TYNE,E11000007,TYNE AND WEAR,NEWCASTLE_UPON_TYNE,TYNE_AND_WEAR
E08000022,NORTH TYNESIDE,E11000007,TYNE AND WEAR,NORTH_TYNESIDE,TYNE_AND_WEAR
E08000023,SOUTH TYNESIDE,E11000007,TYNE AND WEAR,SOUTH_TYNESIDE,TYNE_AND_WEAR
E08000024,SUNDERLAND,E11000007,TYNE AND WEAR,SUNDERLAND,TYNE_AND_WEAR
E08000037,GATESHEAD,E11000007,TYNE AND WEAR,GATESHEAD,TYNE_AND_WEAR
W06000014,VALE OF GLAMORGAN,W06000014,VALE OF GLAMORGAN,VALE_OF_GLAMORGAN,VALE_OF_GLAMORGAN
E07000218,NORTH WARWICKSHIRE,E10000031,WARWICKSHIRE,WARWICKSHIRE,WARWICKSHIRE
E07000219,NUNEATON AND BEDWORTH,E10000031,WARWICKSHIRE,WARWICKSHIRE,WARWICKSHIRE
E07000220,RUGBY,E10000031,WARWICKSHIRE,WARWICKSHIRE,WARWICKSHIRE
E07000221,STRATFORD-ON-AVON,E10000031,WARWICKSHIRE,WARWICKSHIRE,WARWICKSHIRE
E07000222,WARWICK,E10000031,WARWICKSHIRE,WARWICKSHIRE,WARWICKSHIRE
S12000039,WEST DUNBARTONSHIRE,S12000039,WEST DUNBARTONSHIRE,WEST_DUNBARTONSHIRE,WEST_DUNBARTONSHIRE
S12000040,WEST LOTHIAN,S12000040,WEST LOTHIAN,WEST_LOTHIAN,WEST_LOTHIAN
E08000025,BIRMINGHAM,E11000005,WEST MIDLANDS,BIRMINGHAM,WEST_MIDLANDS
E08000026,COVENTRY,E11000005,WEST MIDLANDS,COVENTRY,WEST_MIDLANDS
E08000027,DUDLEY,E11000005,WEST MIDLANDS,DUDLEY,WEST_MIDLANDS
E08000028,SANDWELL,E11000005,WEST MIDLANDS,SANDWELL,WEST_MIDLANDS
E08000029,SOLIHULL,E11000005,WEST MIDLANDS,SOLIHULL,WEST_MIDLANDS
E08000030,WALSALL,E11000005,WEST MIDLANDS,WALSALL,WEST_MIDLANDS
E08000031,WOLVERHAMPTON,E11000005,WEST MIDLANDS,WOLVERHAMPTON,WEST_MIDLANDS
E08000032,BRADFORD,E11000006,WEST YORKSHIRE,BRADFORD,WEST_YORKSHIRE
E08000033,CALDERDALE,E11000006,WEST YORKSHIRE,CALDERDALE,WEST_YORKSHIRE
E08000034,KIRKLEES,E11000006,WEST YORKSHIRE,KIRKLEES,WEST_YORKSHIRE
E08000035,LEEDS,E11000006,WEST YORKSHIRE,LEEDS,WEST_YORKSHIRE
E08000036,WAKEFIELD,E11000006,WEST YORKSHIRE,WAKEFIELD,WEST_YORKSHIRE
E06000030,SWINDON,E06000030,SWINDON,SWINDON,WILTSHIRE
E06000054,WILTSHIRE,E06000054,WILTSHIRE,WILTSHIRE,WILTSHIRE
E07000234,BROMSGROVE,E10000034,WORCESTERSHIRE,WORCESTERSHIRE,WORCESTERSHIRE
E07000235,MALVERN HILLS,E10000034,WORCESTERSHIRE,WORCESTERSHIRE,WORCESTERSHIRE
E07000236,REDDITCH,E10000034,WORCESTERSHIRE,WORCESTERSHIRE,WORCESTERSHIRE
E07000237,WORCESTER,E10000034,WORCESTERSHIRE,WORCESTERSHIRE,WORCESTERSHIRE
E07000238,WYCHAVON,E10000034,WORCESTERSHIRE,WORCESTERSHIRE,WORCESTERSHIRE
E07000239,WYRE FOREST,E10000034,WORCESTERSHIRE,WORCESTERSHIRE,WORCESTERSHIRE
,,L99999999,CHANNEL ISLANDS,GUERNSEY,GUERNSEY
,,L99999999,CHANNEL ISLANDS,JERSEY,JERSEY