location_provided_in_input	correct_location(s)									
SOUTH YORKSHIRE	BARNSLEY	DONCASTER	ROTHERHAM	SHEFFIELD						
LONDON	GREATER_LONDON									
CITY OF LONDON	GREATER_LONDON									
SUTTON-IN-ASHFIELD	NOTTINGHAMSHIRE									
GALASHIELS	SCOTTISH_BORDERS									
KIRKCALDY	FIFE									
KIRKALDY	FIFE									
MOTHERWELL	NORTH_LANARKSHIRE									
GREATER MANCHESTER	MANCHESTER	BOLTON	BURY	OLDHAM	ROCHDALE	STOCKPORT	TAMESIDE	TRAFFORD	WIGAN	SALFORD
PAISLEY	RENFREWSHIRE									
INVERNESS	HIGHLAND									
KILMARNOCK	EAST_AYRSHIRE									
MERSEYSIDE	KNOWSLEY	SAINT_HELENS	SEFTON	WIRRAL						
CHESHIRE	CHESHIRE_EAST	CHESHIRE_WEST_AND_CHESTER								
WEST YORKSHIRE	BRADFORD	CALDERDALE	KIRKLEES	LEEDS	WAKEFIELD					
BERKSHIRE	BRACKNELL_FOREST	READING	SLOUGH	WEST_BERKSHIRE	WINDSOR_AND_MAIDENHEAD	WOKINGHAM				
EAST YORKSHIRE	EAST_RIDING_OF_YORKSHIRE									
BORDERS	SCOTTISH_BORDERS									
WEST MIDLANDS	BIRMINGHAM	COVENTRY	WOLVERHAMPTON	DUDLEY	SANDWELL	SOLIHULL	WALSALL	
WESTMIDLANDS	BIRMINGHAM	COVENTRY	WOLVERHAMPTON	DUDLEY	SANDWELL	SOLIHULL	WALSALL		
TYNE AND WEAR	SOUTH_TYNESIDE	NORTH_TYNESIDE	NEWCASTLE_UPON_TYNE	SUNDERLAND	GATESHEAD					
RHONDDA CYNON TAF	RHONDDA_CYNON_TAFF
RHONDDA,CYNON,TAF	RHONDDA_CYNON_TAFF								
ISLE OF ANGLESEY	ANGLESEY									
SHETLAND	SHETLAND_ISLANDS									
PERTH AND KINROSS	PERTHSHIRE_AND_KINROSS									
PERTH	PERTHSHIRE_AND_KINROSS									
CAMARTHENSHIRE	CARMARTHENSHIRE									
COUNTY DURHAM	DURHAM									
KIRKWALL	ORKNEY_ISLANDS									
OUTER HEBRIDES	EILEAN_SIAR									
SUSSEX	WEST_SUSSEX	EAST_SUSSEX								
BELFAST	ANTRIM									
GLASGOW CITY	GLASGOW									
STAFFORD	STAFFORDSHIRE									
BIRMINGHAM HEARTLANDS HOSPITAL	BIRMINGHAM									
BALSALL HEATH	BIRMINGHAM									
EDGBASTON	BIRMINGHAM									
KINGS NORTON	BIRMINGHAM									
LEDBURY	HEREFORDSHIRE									
LUDLOW	SHROPSHIRE									
MIDDLESEX	GREATER_LONDON									
NORTHFIELD	EDINBURGH									
ROSS ON WYE	HEREFORDSHIRE									
SMETHWICK	SANDWELL									
BEDWORTH	WARWICKSHIRE									
BOURNVILLE	BIRMINGHAM									
SUTTON COLDFIELD	BIRMINGHAM									
STIRCHLEY	BIRMINGHAM									
WITTON	BIRMINGHAM									
LICKEY	WORCESTERSHIRE									
GLAMORGAN	VALE_OF_GLAMORGAN									
BROMSGROVE	WORCESTERSHIRE									
ABERDEEN CITY	ABERDEEN									
SALTLEY	BIRMINGHAM									
HANDSWORTH	BIRMINGHAM									
ASTON	BIRMINGHAM									
ACOCKS GREEN	BIRMINGHAM									
SMALL HEATH	BIRMINGHAM									
ERDINGTON	BIRMINGHAM									
KINGS HEATH	BIRMINGHAM									
TAMWORTH	STAFFORDSHIRE									
QUINTON	BIRMINGHAM									
HOCKLEY	ESSEX									
WORCESTER	WORCESTERSHIRE									
RUBERY	WORCESTERSHIRE									
CATSHILL	WORCESTERSHIRE									
MOSELEY	BIRMINGHAM									
CASTLE BROMWICH	SOLIHULL									
NRTH LANARKSHIRE	NORTH_LANARKSHIRE									
KINGSTANDING	BIRMINGHAM									
CENTRAL BHAM	BIRMINGHAM									
WASHWOOD HEATH	BIRMINGHAM									
WEOLEY CASTLE	BIRMINGHAM									
STOKE ON TRENT	STOKE-ON-TRENT									
HARBORNE	BIRMINGHAM									
CHELMSLEY WOOD	SOLIHULL									
SWADLINCOTE	DERBYSHIRE									
REDNAL	BIRMINGHAM									
WARWICK	WARWICKSHIRE									
GREAT BARR	BIRMINGHAM									
BARTLEY GREEN	BIRMINGHAM									
WORDSLEY	DUDLEY									
UPPER GORNAL	DUDLEY									
LONGBRIDGE	BIRMINGHAM									
BILLESLEY	BIRMINGHAM									
CITY OF EDINBURGH	EDINBURGH									
HALESOWEN	DUDLEY									
STECHFORD	BIRMINGHAM									
SHARD END	BIRMINGHAM									
HODGE HILL	BIRMINGHAM									
KIDDERMINSTER	WORCESTERSHIRE									
SHIRLEY	SOLIHULL									
DUNDEE CITY	DUNDEE									
CLWYD	CONWY	DENBIGHSHIRE	FLINTSHIRE	WREXHAM						
BORDESLEY GREEN	BIRMINGHAM									
SELLY OAK	BIRMINGHAM									
FRANKLEY	WORCESTERSHIRE									
NORTHANTS	NORTHAMPTONSHIRE									
LOUGHTON	ESSEX									
ROMFORD	GREATER_LONDON									
WALTHAMSTOW	GREATER_LONDON									
DAGENHAM	GREATER_LONDON									
CHINGFORD	GREATER_LONDON									
LEYTON	GREATER_LONDON									
LEYTONSTONE	GREATER_LONDON									
LAPWORTH	WARWICKSHIRE									
CHELMSFORD	ESSEX									
REDHILL	SURREY									
CORNWALL AND ISLES OF SCILLY	CORNWALL	ISLES_OF_SCILLY								
COUNTY ARMAGH	ARMAGH									
COUNTY FERMANAGH	FERMANAGH									
CLEVELAND	REDCAR_AND_CLEVELAND									
BUCKHURST HILL	ESSEX									
CAUSEWAY	ANTRIM									
BEDNALL	STAFFORDSHIRE									
HEREFORD	HEREFORDSHIRE									
HALL GREEN	BIRMINGHAM									
OLDBURY	SANDWELL									
HIGHTERS HEATH	BIRMINGHAM									
SPARKWELL	DEVON									
YARDLEY	BIRMINGHAM									
SPARKBROOK	BIRMINGHAM									
DORRIDGE	SOLIHULL									
CENTRAL BIRMINGHAM	BIRMINGHAM									
EAST MIDLANDS	DERBY	DERBYSHIRE	NOTTINGHAMSHIRE	NOTTINGHAM	LEICESTERSHIRE	LEICESTER	RUTLAND	NORTHAMPTONSHIRE	LINCOLNSHIRE				
TYNE & WEAR	SOUTH_TYNESIDE	NORTH_TYNESIDE	NEWCASTLE_UPON_TYNE	SUNDERLAND	GATESHEAD					
WAKE GREEN	BIRMINGHAM									
WILLENHALL	WALSALL									
LONG EATON	DERBYSHIRE									
STOURBRIDGE	DUDLEY									
ILFORD	GREATER_LONDON									
EAST RENFREWSHIIRE	EAST_RENFREWSHIRE									
WEST BROMWICH	SANDWELL									
YARDLEY WOOD	BIRMINGHAM									
HANDSWORTH WOOD	BIRMINGHAM									
DUMFRIESSHIRE	DUMFRIES_AND_GALLOWAY									
RUGBY	WARWICKSHIRE									
PERRY BARR	BIRMINGHAM									
TIPTON	SANDWELL									
ROWLEY REGIS	SANDWELL									
STOURPORT	WORCESTERSHIRE									
KINGSHURST	SOLIHULL									
ROYSTON	HERTFORDSHIRE						
ST HELENS	SAINT_HELENS
BARKING	GREATER_LONDON
BUCKHURTS HILL	ESSEX
FOREST GATE	GREATER_LONDON
SPARKHILL	BIRMINGHAM
WANSTEAD	GREATER_LONDON		
NEWRY, MOURNE AND DOWN	NEWRY_MOURNE_AND_DOWN	
ARMAGH, BANBRIDGE AND CRAIGAVON	ARMAGH_BANBRIDGE_AND_CRAIGAVON
LANGPORT	SOMERSET	
AYLESBURY	BUCKINGHAMSHIRE	
CHIGWELL	ESSEX
RAINHAM	ESSEX
WOODFORD_GREEN	GREATER_LONDON
CAMBRIDGE	CAMBRIDGESHIRE
SALISBURY	WILTSHIRE
EAST_RENFEWSHIRE	EAST_RENFREWSHIRE
SOUTH_WOODFORD	GREATER_LONDON
ST_ALBANS	HERTFORDSHIRE
PENZANCE	CORNWALL
TRURO	CORNWALL
RUISLIP	GREATER_LONDON
STANFORD-LE-HOPE	ESSEX
WALTHAM_CROSS	HERTFORDSHIRE
WANSTED	GREATER_LONDON
SUREY	SURREY
TONBRIDGE	KENT
SHEERNESS	KENT
HORNCHURCH	GREATER_LONDON
NEW_MILTON	HAMPSHIRE
LISBURN	LISBURN_AND_CASTLEREAGH
ARDS_AND_NORTH_DOWN	NORTH_DOWN_AND_ARDS
UCKFIELD	EAST_SUSSEX
TORPOINT	CORNWALL
DORCHESTER	DORSET
GUILFORD	SURREY
LINCOLN	LINCOLNSHIRE
GRAYS	THURROCK
GUERNSEY_CHANNE	GUERNSEY
HOLT	NORFOLK
OXFORD	OXFORDSHIRE
BASILDON	ESSEX
HARLOW	ESSEX
CHICHESTER	WEST_SUSSEX